,subject_n,visibility,reward,RT,FP,FP1,FP2,FP3,FP4,FP5
116,0,True,False,0.33255185386183445,0.9,0.9,0.9,0.3,0.9,0.3
117,0,True,False,0.33198638202834196,0.9,0.9,0.9,0.9,0.3,0.9
118,0,True,False,0.2819726252912595,0.9,0.9,0.9,0.9,0.9,0.3
119,0,True,False,0.32,0.9,0.9,0.9,0.9,0.9,0.9
120,0,True,False,0.32,0.6,0.0,0.0,0.0,0.0,0.0
121,0,True,False,0.28167020845518115,0.6,0.6,0.0,0.0,0.0,0.0
122,0,True,False,0.28230588565080006,0.9,0.6,0.6,0.0,0.0,0.0
123,0,True,False,0.32,0.6,0.9,0.6,0.6,0.0,0.0
124,0,True,False,0.33347713001357515,0.9,0.6,0.9,0.6,0.6,0.0
125,0,True,False,0.32,0.9,0.9,0.6,0.9,0.6,0.6
126,0,True,False,0.32,0.6,0.9,0.9,0.6,0.9,0.6
127,0,True,False,0.3318434667338643,0.3,0.6,0.9,0.9,0.6,0.9
128,0,True,False,0.28256628684255,0.9,0.3,0.6,0.9,0.9,0.6
129,0,True,False,0.33161199653325363,0.3,0.9,0.3,0.6,0.9,0.9
130,0,True,False,0.30457345142099457,0.3,0.3,0.9,0.3,0.6,0.9
131,0,True,False,0.32,0.9,0.3,0.3,0.9,0.3,0.6
132,0,True,False,0.3319170145655707,0.6,0.9,0.3,0.3,0.9,0.3
133,0,True,False,0.30943863880588174,0.6,0.6,0.9,0.3,0.3,0.9
134,0,True,False,0.28320440917431305,0.6,0.6,0.6,0.9,0.3,0.3
135,0,True,False,0.2832513805952317,0.9,0.6,0.6,0.6,0.9,0.3
136,0,True,False,0.2820619719480306,0.9,0.9,0.6,0.6,0.6,0.9
137,0,True,False,0.30033535146562673,0.9,0.9,0.9,0.6,0.6,0.6
138,0,True,False,0.33323282800181203,0.3,0.9,0.9,0.9,0.6,0.6
139,0,True,False,0.28349075284864,0.6,0.3,0.9,0.9,0.9,0.6
